dir,csv_files,json_files,md_files,total_csv_bytes,run_jsons,csv_names,is_final_result_dir,stage_category,evidence_status,clean_release_policy,classification_notes
results/stage3/contract_v2/msp_bin_gamma_sensitivity,4,1,1,137997,msp_bin_gamma_sensitivity_run.json,delta_readout_summary.csv;msp_bin_gamma_delta_readout.csv;msp_bin_gamma_stability.csv;stability_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/p_channel_counterfactual_audit,14,1,1,1695883,p_channel_counterfactual_run.json,blockwise_drift.csv;block_drift_summary.csv;conditional_mi_summary.csv;counterfactual_stability.csv;delta_readout_summary.csv;local_conditional_block_mi.csv;local_counterfactual_delta_readout.csv;local_counterfactual_mi.csv;local_counterfactual_pairs.csv;local_pair_summary.csv;mi_summary.csv;pooled_feature_reliability.csv;reliability_summary.csv;stability_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/p_msp_contribution,9,1,1,2639265,p_msp_contribution_run.json,p_msp_contribution_conditional_contrasts.csv;p_msp_contribution_delta_readout.csv;p_msp_contribution_delta_readout_by_length.csv;p_msp_contribution_delta_readout_summary.csv;p_msp_contribution_local_pairs.csv;p_msp_contribution_local_pair_summary.csv;p_msp_contribution_stability.csv;p_msp_contribution_stability_by_length.csv;p_msp_contribution_stability_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/property_redundancy_runtime,5,1,1,774617,property_redundancy_runtime_run.json,audit_clean_read_sample.csv;feature_runtime_overall.csv;feature_runtime_summary.csv;property_msp_cca_detail.csv;property_msp_redundancy_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/property_scaling,4,1,1,71832,property_scaling_run.json,property_scaling_stability.csv;property_scaling_summary.csv;p_group_ablation_stability.csv;p_group_ablation_summary.csv,False,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/figures,0,0,0,0,,,False,stage3_publication_assets,derived_final_figures,include_selected,Stage-3 generated figures.
results/stage3/fullmatrix_property_contribution_ci,6,0,1,13693,,fullmatrix_property_art_ci.csv;fullmatrix_property_art_delta_ci.csv;fullmatrix_property_cami_ci.csv;fullmatrix_property_cami_delta_ci.csv;fullmatrix_property_controlled_ci.csv;fullmatrix_property_controlled_delta_ci.csv,True,stage3_fullmatrix_property_contribution,final_evidence_source,include,Bootstrap CI tables for full-matrix property contribution.
results/stage3/fullmatrix_property_contribution_controlled,1,1,0,33972,position_property_controlled_run.json,position_property_controlled_results.csv,True,stage3_fullmatrix_property_contribution,final_evidence_source,include,Controlled P-versus-non-P full-matrix ablation.
results/stage3/position_property_ablation,3,1,1,2910351,stage3_compact_baselines_run.json,compact_baseline_readout.csv;compact_baseline_readout_all_conditions.csv;compact_baseline_stability.csv,True,stage3_position_property_revision,final_evidence_source,include_summary_exclude_reads,Compact CK4/CK5 plus biochemical and position-aware property ablation.
results/stage3/spaced_pattern_sanity,3,1,1,33127,spaced_pattern_sanity_run.json,spaced_pattern_sanity_best_four_position.csv;spaced_pattern_sanity_cardinality_summary.csv;spaced_pattern_sanity_stability.csv,True,stage3_spaced_pattern_sanity,final_evidence_source,include,Focused seed-layout stability and cardinality sanity check.
