csv,rows,columns,bytes,parse_error,stage_category,evidence_status,clean_release_policy,classification_notes
results/stage2/csp_ablation/csp_ablation_deltas.csv,456,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;label;n_pairs;n_features;density;base_paired_cosine_mean;base_l2_delta_mean;base_retrieval_top1;delta_cosine_vs_cspaced_count;delta_l2_vs_cspaced_count;delta_top1_vs_cspaced_count,143947,,stage2_main_mechanism_grid,final_evidence_source,include_selected,CSP component ablation evidence.
results/stage2/csp_ablation/csp_ablation_metrics.csv,456,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;label;n_pairs;n_features;density,104729,,stage2_main_mechanism_grid,final_evidence_source,include_selected,CSP component ablation evidence.
results/stage2/publication_assets/tables/stage2_table_arg_snp_best_stability.csv,50,Boundary task;Condition;Length;Representation;Mean paired cosine;Mean L2 drift;Nearest-clean retrieval;Features,4852,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_arg_snp_readout_aggregate.csv,18,task;Representation;Mean_macro_F1;Mean_accuracy;Mean_features,1343,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_attention_change_points.csv,4,Motif position;First length with full motif-pair visibility;Maximum pair visibility;Lengths tested,387,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_csp_component_singletons.csv,7,component;Mean_cosine_gain;Mean_L2_change;Max_cosine_gain;Min_L2_change,708,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_csp_full_ablation.csv,24,Condition;Length;Cosine gain over spaced seed;L2 change over spaced seed;Mean paired cosine;Mean L2 drift;Features,2524,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_hospital_69_75_focus.csv,40,Condition;Length;Representation;Mean paired cosine;5th percentile paired cosine;Mean L2 drift;95th percentile L2 drift;Nearest-clean retrieval;Features;Density,5827,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_readout_aggregate.csv,10,Task;Representation;Mean_macro_F1;Mean_accuracy;Mean_features,919,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/publication_assets/tables/stage2_table_stability_gain_summary.csv,4,Comparison;Mean cosine gain;Minimum gain;Maximum gain;Wins;Comparisons,466,,stage2_publication_assets,derived_final_tables_figures,include_selected_tables_figures,Generated stage-2 manuscript tables and figures; parameter-sensitivity tables are deprecated.
results/stage2/representation_grid/readout_grid.csv,3300,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;genus;length;condition;label_col,439778,,stage2_main_mechanism_grid,final_evidence_source,include_selected,Main WGS-slice representation stability/readout grid.
results/stage2/representation_grid/stability_grid.csv,252,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,47498,,stage2_main_mechanism_grid,final_evidence_source,include_selected,Main WGS-slice representation stability/readout grid.
results/stage3/art_ck4p_position_ablation/art_stability_metrics.csv,40,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,7582,,stage3_position_property_revision,final_evidence_source,include_selected,ART compact CK4/CK5 plus position-aware property validation.
results/stage3/art_fullmatrix_property_contribution/art_stability_metrics.csv,16,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,2793,,stage3_fullmatrix_property_contribution,final_evidence_source,include_selected,ART P-versus-non-P full-matrix stability ablation.
results/stage3/art_illumina/art_generation_manifest.csv,105,label;length;status;n_rows;n_pairs;fq_path;sam_path,19393,,stage3_external_validation,final_evidence_source,include_summary_exclude_fastq_reads,ART Illumina simulator validation.
results/stage3/art_illumina/art_stability_metrics.csv,40,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,6964,,stage3_external_validation,final_evidence_source,include_summary_exclude_fastq_reads,ART Illumina simulator validation.
results/stage3/art_quality_stratified/art_quality_stratified_stability.csv,120,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;quality_bin;mean_phred_min;mean_phred_mean;mean_phred_max;representation;representation_label;n_pairs;n_features;density;avg_nnz_per_read,26551,,stage3_external_validation,final_evidence_source,include_selected,ART quality-stratified summary.
results/stage3/bootstrap_ci/stage3_art_bootstrap_ci.csv,8,representation;n_cells;paired_cosine_mean_mean;paired_cosine_mean_ci95_low;paired_cosine_mean_ci95_high;l2_delta_mean_mean;l2_delta_mean_ci95_low;l2_delta_mean_ci95_high;retrieval_top1_mean;retrieval_top1_ci95_low;retrieval_top1_ci95_high;median_features;mean_density;representation_label;paired cosine (95% CI);L2 drift (95% CI);top-1 retrieval (95% CI),2527,,stage3_external_validation,final_evidence_source,include,Analysis-cell bootstrap CI tables used in final manuscript.
results/stage3/bootstrap_ci/stage3_art_quality_bootstrap_ci.csv,24,quality_bin;representation;n_cells;paired_cosine_mean_mean;paired_cosine_mean_ci95_low;paired_cosine_mean_ci95_high;l2_delta_mean_mean;l2_delta_mean_ci95_low;l2_delta_mean_ci95_high;retrieval_top1_mean;retrieval_top1_ci95_low;retrieval_top1_ci95_high;representation_label;paired cosine (95% CI);L2 drift (95% CI);top-1 retrieval (95% CI),6163,,stage3_external_validation,final_evidence_source,include,Analysis-cell bootstrap CI tables used in final manuscript.
results/stage3/bootstrap_ci/stage3_cami_macro_f1_bootstrap_ci.csv,16,task;representation;n_cells;macro_f1_mean;macro_f1_ci95_low;macro_f1_ci95_high;accuracy_mean;accuracy_ci95_low;accuracy_ci95_high;mean_features;representation_label;macro-F1 (95% CI);accuracy (95% CI),3788,,stage3_external_validation,final_evidence_source,include,Analysis-cell bootstrap CI tables used in final manuscript.
results/stage3/bootstrap_ci/stage3_compact_bootstrap_ci.csv,9,representation;n_cells;paired_cosine_mean_mean;paired_cosine_mean_ci95_low;paired_cosine_mean_ci95_high;l2_delta_mean_mean;l2_delta_mean_ci95_low;l2_delta_mean_ci95_high;retrieval_top1_mean;retrieval_top1_ci95_low;retrieval_top1_ci95_high;median_features;mean_density;representation_label;paired cosine (95% CI);L2 drift (95% CI);top-1 retrieval (95% CI),2917,,stage3_external_validation,final_evidence_source,include,Analysis-cell bootstrap CI tables used in final manuscript.
results/stage3/cami2_marine_lightweight_probe_core/cami2_marine_clean_reads.csv,4000,read_id;clean_read_id;sequence;quality;sample;source_dataset,1517661,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/cami2_marine_lightweight_probe_core/cami2_marine_probe_reads.csv,48000,read_id;clean_read_id;sequence;quality;sample;source_dataset;source_length;length;condition;mutation_profile;label;species_id;genus,20692163,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/cami2_marine_lightweight_probe_core/cami2_marine_stability.csv,63,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,12174,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/cami_ck4p_position_ablation_fast/cami_probe_readout.csv,432,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;length;condition;label_col,52376,,stage3_position_property_revision,final_evidence_source,include_summary_exclude_reads,CAMI compact CK4/CK5 plus position-aware property readout probe.
results/stage3/cami_fullmatrix_property_contribution/cami_probe_readout.csv,96,error;representation;classifier;task;length;condition;label_col;n_samples;n_classes;n_features;accuracy;macro_f1,10299,,stage3_fullmatrix_property_contribution,final_evidence_source,include_summary_exclude_reads,CAMI P-versus-non-P full-matrix readout ablation.
results/stage3/cami_probe_expanded/cami_probe_readout.csv,432,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;length;condition;label_col,48560,,stage3_external_validation,final_evidence_source,include_summary_exclude_reads,Expanded CAMI_TOY_low readout probe used in final manuscript.
results/stage3/cami_remote_tar_manifest.csv,6,name;size;typeflag;header_offset;data_offset;next_header_offset,616,,stage3_container,container_directory,container_only,Top-level stage-3 container; evidence classification is assigned to child result directories.
results/stage3/compact_baselines/compact_baseline_readout.csv,3080,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;genus;length;condition;label_col,404878,,stage3_external_validation,final_evidence_source,include_summary_exclude_reads,Compactness controls and stability/readout external validation.
results/stage3/compact_baselines/compact_baseline_stability.csv,360,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,61494,,stage3_external_validation,final_evidence_source,include_summary_exclude_reads,Compactness controls and stability/readout external validation.
results/stage3/contract_v2/cami2_marine_stability/cami2_marine_clean_reads.csv,4000,read_id;clean_read_id;sequence;quality;sample;source_dataset,1517661,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/cami2_marine_stability/cami2_marine_figure_source.csv,45,length;condition;method;representation;n_pairs;n_features;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;retrieval_top1,4719,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/cami2_marine_stability/cami2_marine_probe_reads.csv,48000,read_id;clean_read_id;sequence;quality;sample;source_dataset;source_length;length;condition;mutation_profile;label;species_id;genus,20692163,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/cami2_marine_stability/cami2_marine_stability.csv,36,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,6372,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/cami_toy_readout/cami_probe_readout.csv,144,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;length;condition;label_col,15771,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/compact_baselines/compact_baseline_readout.csv,4400,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;genus;length;condition;label_col,565921,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/compact_baselines/compact_baseline_stability.csv,468,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,79491,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/compact_baselines/stage3_compact_baseline_reads.csv,25200,read_id;clean_read_id;sequence;label;species_id;genus;species;benchmark_role;target_binary;condition;source_rule;source_length;observed_layout;length;template_start;template_end;mutation_profile;notes,15161604,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/dimension_reduction_baselines/dimension_reduction_readout.csv,3168,representation;representation_label;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;genus;length;condition;label_col,421027,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/dimension_reduction_baselines/dimension_reduction_readout_summary.csv,24,representation;representation_label;classifier;n_cells;macro_f1;accuracy;median_features,2064,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/dimension_reduction_baselines/dimension_reduction_stability.csv,288,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;representation_label;n_pairs;n_features;base_representation;reducer;target_dim,49250,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/dimension_reduction_baselines/dimension_reduction_stability_summary.csv,12,representation;representation_label;n_cells;paired_cosine;l2_drift;retrieval_top1;median_features,1035,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines/high_k_minhash_jaccard.csv,24,length;condition;representation;representation_label;n_pairs;sketch_size;minhash_jaccard_mean;minhash_jaccard_sd;exact_jaccard_mean;exact_jaccard_sd;mean_absolute_error,4133,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines/high_k_minhash_jaccard_summary.csv,1,representation;representation_label;n_cells;estimated_jaccard;exact_jaccard;mean_absolute_error,202,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines/high_k_readout.csv,1584,representation;representation_label;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;genus;length;condition;label_col,216268,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines/high_k_readout_summary.csv,12,representation;representation_label;classifier;n_cells;macro_f1;accuracy;median_features,1123,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines/high_k_stability.csv,144,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;representation_label;n_pairs;n_features;high_k;target_dim,23182,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/high_k_compressed_baselines/high_k_stability_summary.csv,6,representation;representation_label;n_cells;paired_cosine;l2_drift;retrieval_top1;median_features,571,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_figure_source.csv,245,panel;representation;cell_1;cell_2;value;metric,17189,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_local_metrics.csv,15000,sample_id;length;local_mode;representation;noise_cosine;local_cosine;noise_l2;local_l2;local_minus_noise_l2;selective_sensitivity_ratio;selective_sensitivity_ratio_valid;n_features;density;avg_nnz_per_read,2935206,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_local_readout.csv,240,split;classifier;accuracy;macro_f1;length;local_mode;representation;n_samples;n_features;accuracy_std;macro_f1_std,25467,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_local_summary.csv,60,length;local_mode;representation;noise_l2_mean;local_l2_mean;local_minus_noise_l2_mean;local_minus_noise_l2_ci_low;local_minus_noise_l2_ci_high;selective_sensitivity_ratio_mean;selective_sensitivity_ratio_n_valid;selective_sensitivity_ratio_valid_fraction;selective_sensitivity_ratio_denominator_tolerance;selective_sensitivity_ratio_ci_low;selective_sensitivity_ratio_ci_high;noise_cosine_mean;local_cosine_mean;n_features;density;avg_nnz_per_read;n_triplets,16807,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_paired_contrasts.csv,8,endpoint;comparator;comparator_label;n_cells;ck4p_msp_improvement;ci_low;ci_high;wilcoxon_p;bh_q,1214,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_readout.csv,1375,representation;classifier;n_samples;n_classes;n_features;accuracy;macro_f1;task;genus;length;condition;label_col,164674,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_runtime.csv,30,representation;representation_label;repeat;order_in_repeat;length;n_reads;sampling;n_features;elapsed_seconds;seconds_per_read;milliseconds_per_10000_reads;checksum,5039,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_stability.csv,150,retrieval_top1;paired_cosine_mean;paired_cosine_p05;l2_delta_mean;l2_delta_p95;mean_pair_margin;margin_positive_rate;length;condition;representation;n_pairs;n_features;density;avg_nnz_per_read,25061,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/historical_descriptor_audit/historical_descriptor_summary.csv,5,representation;n_cells;paired_cosine;standardized_drift;retrieval_top1;n_features_min;n_features_max;macro_f1;n_readout_cells;selective_sensitivity_ratio;selective_sensitivity_ratio_valid_fraction;local_minus_noise_l2;grouped_local_change_macro_f1;representation_label;runtime_ms_per_10000;runtime_q25;runtime_q75;runtime_n_features;runtime_n_reads,1559,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/knn_mi_robustness/knn_mi_detail.csv,96,length;local_mode;feature_set;knn_mi_bits;perm_p;perm_mean_bits;subsample_mean_bits;subsample_ci_low;subsample_ci_high;n_rows;k_neighbors,13930,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/knn_mi_robustness/knn_mi_increment_inference.csv,1,contrast;n_cells;paired_unit;mean_signed_increment_bits;median_signed_increment_bits;bootstrap_95_ci_low;bootstrap_95_ci_high;wilcoxon_two_sided_p;aggregate_label_permutation_p;aggregate_null_mean_bits;n_permutations_per_cell;n_subsamples_per_cell;k_neighbors,465,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/knn_mi_robustness/knn_mi_summary.csv,8,feature_set;n_cells;mean_knn_mi_bits;median_knn_mi_bits;mean_perm_p;mean_subsample_ci_low;mean_subsample_ci_high,983,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_change_factorial/local_change_factorial_conditional_contrasts.csv,6,contrast;target;paired_unit;n_cells;full_mean;comparator_mean;mean_macro_f1_difference;bootstrap_95_ci_low;bootstrap_95_ci_high;wilcoxon_two_sided_p;bh_q,1196,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_change_factorial/local_change_factorial_metrics.csv,84000,sample_id;length;local_mode;representation;representation_label;variant;spatial_pattern;chemistry;l2_drift;n_features,8438108,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_change_factorial/local_change_factorial_readout.csv,168,length;local_mode;representation;representation_label;target;accuracy_mean;accuracy_std;macro_f1_mean;macro_f1_std;n_templates;n_features;cv_folds,19672,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_change_factorial/local_change_factorial_reads.csv,15000,sample_id;source_length;local_mode;variant;spatial_pattern;chemistry;sequence;n_changes,2570592,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_change_factorial/local_change_factorial_summary.csv,7,representation;representation_label;n_template_cells;n_features;spatial_effect_mean;chemistry_effect_mean;chemistry_readout_macro_f1;spatial_readout_macro_f1,890,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_fraction_delta_readout.csv,576,split;classifier;accuracy;macro_f1;length;local_mode;representation;n_samples;n_features;accuracy_std;macro_f1_std;mutation_fraction,64038,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_fraction_delta_readout_summary.csv,24,mutation_fraction;representation;classifier;n_cells;macro_f1;accuracy;n_features,1827,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_fraction_distance_summary.csv,12,mutation_fraction;representation;n_cells;noise_l2;local_l2;local_minus_noise_l2;n_features;selective_sensitivity_ratio,1338,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_fraction_pair_metrics.csv,25920,sample_id;length;local_mode;representation;noise_cosine;local_cosine;noise_l2;local_l2;local_minus_noise_l2;selective_sensitivity_ratio;n_features;density;avg_nnz_per_read;mutation_fraction,5143683,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_fraction_summary.csv,144,length;local_mode;representation;noise_l2_mean;local_l2_mean;local_minus_noise_l2_mean;local_minus_noise_l2_ci_low;local_minus_noise_l2_ci_high;selective_sensitivity_ratio_mean;selective_sensitivity_ratio_ci_low;selective_sensitivity_ratio_ci_high;noise_cosine_mean;local_cosine_mean;n_features;density;avg_nnz_per_read;n_triplets;mutation_fraction,38494,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_triplets_frac_0.01.csv,6480,sample_id;source_length;local_mode;variant;sequence;n_changes;mutation_positions;mutation_fraction,1037163,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_triplets_frac_0.03.csv,6480,sample_id;source_length;local_mode;variant;sequence;n_changes;mutation_positions;mutation_fraction,1065067,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_fraction_sweep/local_mutation_triplets_frac_0.05.csv,6480,sample_id;source_length;local_mode;variant;sequence;n_changes;mutation_positions;mutation_fraction,1096745,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_sensitivity/local_mutation_delta_readout.csv,192,split;classifier;accuracy;macro_f1;length;local_mode;representation;n_samples;n_features;accuracy_std;macro_f1_std,20485,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_sensitivity/local_mutation_pair_metrics.csv,12000,sample_id;length;local_mode;representation;noise_cosine;local_cosine;noise_l2;local_l2;local_minus_noise_l2;selective_sensitivity_ratio;n_features;density;avg_nnz_per_read,2297466,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_sensitivity/local_mutation_sensitivity_summary.csv,48,length;local_mode;representation;noise_l2_mean;local_l2_mean;local_minus_noise_l2_mean;local_minus_noise_l2_ci_low;local_minus_noise_l2_ci_high;selective_sensitivity_ratio_mean;selective_sensitivity_ratio_ci_low;selective_sensitivity_ratio_ci_high;noise_cosine_mean;local_cosine_mean;n_features;density;avg_nnz_per_read;n_triplets,12725,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
results/stage3/contract_v2/local_mutation_sensitivity/local_mutation_triplets.csv,9000,sample_id;source_length;local_mode;variant;sequence;n_changes;mutation_positions,1434266,,stage3_metadata,metadata,include_selected,Stage-3 top-level manifests and subset metadata.
